artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Khaligraph Jones,Khali Cartel 3,Khali Cartel 3,0oQDBLn0cTSCELktphqevO,0.642,0.705,0,-6.171,1,0.51,0,0.0671,0.554,165.448,598074,4
Otile Brown,Just In Love,Dusuma,35riG35oLwfgvv8j5tSY9V,0.731,0.794,7,-4.63,0,0.138,2.22e-06,0.122,0.723,177.97,213030,4
Otile Brown,Such Kinda Love,Such Kinda Love,12ZjCl72eIKjyRLxdzCzp3,0.745,0.827,10,-4.074,1,0.0405,0.000401,0.243,0.786,93.987,186383,4
Otile Brown,Baby Love,Baby Love,7pvReoWJbC0IJqBHs8Q5c6,0.706,0.834,6,-5.863,1,0.0814,1.65e-05,0.0996,0.726,101.14,197280,4
Otile Brown,Chaguo la Moyo (feat. Sanaipei),Chaguo la Moyo (feat. Sanaipei),0jN5nAQMiKZHvIaaMdRoYn,0.462,0.538,5,-8.159,1,0.0887,1.56e-06,0.105,0.504,161.934,204513,4
Otile Brown,Aye,Aye,0JxWDGHts2i30zxTW4GLIp,0.427,0.667,9,-6.564,1,0.0472,7.25e-06,0.28,0.545,140.534,178722,3
Mbuzi Gang,Shamra Shamra,Shamra Shamra,0zBeSzwKqoZ96EVfltBxp6,0.913,0.857,4,-5.854,1,0.216,1.79e-05,0.0786,0.853,98.017,201723,4
Nikita Kering',A Side Of Me,Ex,352jbBYOtwkzJEMC2KkuiG,0.64,0.464,2,-7.564,0,0.0876,0,0.225,0.294,90.029,204000,4
Ethic Entertainment,Bazenga,Bazenga,5LeSLsMzbTVzN9nMh0DXgX,0.8,0.651,11,-5.712,0,0.175,0.00943,0.0498,0.322,89.97,170722,4
Ethic Entertainment,Tarimbo,Tarimbo,2h6G38N7N15sa2k3wu2f8y,0.928,0.719,6,-7.219,0,0.172,2.93e-05,0.175,0.757,99.939,174000,4
Willy Paul,I Do,I Do,55o0Kmj1fDK5spgELFi5G9,0.621,0.748,6,-4.756,1,0.064,0,0.147,0.62,92.112,238759,4
Willy Paul,Njiwa,Njiwa,2EaPDgAYxbEkw33GX5AESW,0.653,0.67,4,-8.039,1,0.203,0.000104,0.191,0.633,179.889,258220,4
Willy Paul,Tamu Walahi,Tamu Walahi,4OEkqEKvDyPZhFCB8DKWDo,0.836,0.751,1,-6.82,0,0.198,0.000262,0.137,0.702,97.991,218626,4
Willy Paul,Kamati Ya Roho Chafu,Kamati Ya Roho Chafu,4u6rWAGzucybgRpRWjEb6G,0.675,0.865,1,-4.573,1,0.182,0,0.657,0.761,97.85,139227,4
Otile Brown,Mapenzi Hisia,Mapenzi Hisia,2NUmT9bkWTOKwXyphQgm1I,0.684,0.684,7,-8.729,1,0.0596,9.33e-06,0.568,0.512,87.973,222145,4
Vivian Kenya,Vivi,Accelerator,4aLjA8wfNGD07wgZgrpPA2,0.787,0.892,1,-5.657,1,0.127,0.0131,0.065,0.926,180.043,234710,4
Lilmaina,KISHASH,KISHASH,7BmSFviUm0dByhAZ10wNbk,0.928,0.731,2,-5.111,1,0.208,0,0.112,0.571,101.043,159940,4
NDOVU KUU,NDOVU NI KUU,NDOVU NI KUU,2Yr2JGQxWoyCwnnW12NMeV,0.894,0.653,7,-6.933,1,0.319,0,0.101,0.75,93.99,227866,4
