artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
CynMiah,Lost Hope,Lost Hope,5sVwzYT4OS4oW2cxq1IR3a,0.883,0.485,10,-7.529,0,0.0673,0.634,0.0871,0.283,123.957,233744,4
Berri-Tiga,God,God,1Px7fs75casFjjk6T1sCEg,0.526,0.654,4,-5.655,1,0.311,0.00585,0.411,0.496,104.15,148744,4
CynMiah,Afroswing (Freestyle),Afroswing - Freestyle,49twETyPHqDTbFIliW0Xef,0.76,0.456,8,-10.729,1,0.206,0.000667,0.445,0.577,95.008,164327,4
Victony,Outlaw,Soweto,6RbOyNeajWax51NtpO6WT8,0.749,0.663,5,-7.093,0,0.0364,0.000168,0.103,0.593,104.967,148000,4
Diljit Dosanjh,Jugni,Jugni,0gHFDbhx2RFBrhJplPxlcT,0.761,0.896,11,-3.668,0,0.215,2.7e-06,0.124,0.65,96.957,193190,4
Ajebo Hustlers,In Love,In Love,00ZYd7GYdFrNZFQP5O5T5m,0.65,0.773,9,-5.604,0,0.359,0,0.193,0.525,193.684,200412,4
S I,Kak Up Your Bumper,Kak Up Your Bumper,23u3nj1xyQOb9W0zNvhicd,0.717,0.898,7,-4.995,1,0.0808,0,0.528,0.648,104.973,192026,4
Adekunle Gold,5 Star (with Rick Ross),5 Star (with Rick Ross),5shjJZp662loniBOyjqr8h,0.815,0.696,6,-6.603,0,0.275,0,0.111,0.469,106.536,169800,4
Asake,Mr. Money With The Vibe,Ototo,0CUJV0Hh512Ns7U2yGflqt,0.805,0.58,0,-7.924,0,0.078,0.000361,0.403,0.886,130.672,156735,5
S I,More Vibes,More Vibes,2savmC6rZVqgwH73kMoo3Q,0.779,0.583,10,-5.777,0,0.034,0.00387,0.18,0.724,111.963,192000,5
Zinoleesky,Call of Duty,Call of Duty,2wfWK2cmM5DZ4VnT7rDnFO,0.893,0.84,11,-4.608,0,0.171,1.57e-06,0.119,0.812,116.05,144759,4
Major Lazer,Koo Koo Fun,Koo Koo Fun,0ck7L2Z4C9gzShUIwvVMSs,0.856,0.76,1,-7.41,0,0.0359,0.0841,0.0709,0.153,113.008,193274,4
S I,African Picasso,African Picasso,11CQblF1SkCyRt6HAvjkrH,0.687,0.86,0,-4.273,0,0.069,4.95e-06,0.252,0.664,86.994,192000,4
Nandy,Napona,Napona,0vqWa6py4X96uFeaue6DKv,0.732,0.704,8,-4.058,0,0.0882,1.11e-06,0.112,0.586,100.065,169938,4
DJ Tunez,"Majo (feat. Wizkid, Alpha P & Tay Iwar)","Majo (feat. Wizkid, Alpha P & Tay Iwar)",0KLY7SCQuVA4Hk1nzk61p4,0.897,0.642,2,-3.493,0,0.0455,0.0354,0.0844,0.718,103.006,153018,4
Zuchu,Kwikwi,Kwikwi,6RdkggWArMBHrxBmKTvsaj,0.943,0.808,0,-4.275,0,0.206,0.00112,0.151,0.841,115.952,191862,4
Wizkid,Bad To Me,Bad To Me,2pUlBBWq8R10ylbBvZJV9j,0.859,0.822,10,-5.005,0,0.0467,0.0144,0.101,0.908,110.045,177170,4
Asake,Mr. Money With The Vibe,Muse,3Nx9nMHMFgkeF8xpVk1Ev0,0.541,0.504,0,-7.068,0,0.111,0.0484,0.221,0.742,130.178,117551,5
CKay,Sad Romance,by now,3nX1EGT2Rcq5cBAUVECL3n,0.637,0.611,4,-4.092,0,0.14,0.0121,0.121,0.765,189.904,164284,4
Asake,Terminator,Terminator,4vI2KCvXTAPR3vfiWg1J78,0.829,0.657,0,-6.802,1,0.0648,5.27e-05,0.0937,0.811,116.984,155897,4
Themba Lunacy,Temperature,Temperature,5yoBXPcwUOKpDLneaY7Nvx,0.781,0.556,11,-10.341,0,0.0733,3.78e-06,0.141,0.533,104.92,182857,4
Carterefe,Machala,Machala,2GiyNwLCSfXjsb1nwAg1Sq,0.876,0.838,9,-6.267,0,0.12,0.000864,0.232,0.644,114.979,154632,4
Bayanni,Bayanni,Family,49b92P6MYHTJ3OEW1oP5WI,0.654,0.458,7,-9.48,1,0.0392,0.000449,0.234,0.175,110.129,143657,4
Fireboy DML,Bandana,Bandana,5CTQCPv51aLWpwTbqo8mEL,0.818,0.605,1,-7.121,1,0.038,0.0116,0.0696,0.366,104.931,178225,4
Asake,Mr. Money With The Vibe,Reason (feat. Russ),6WavyUNdnJk9SRW7ko9ack,0.608,0.58,0,-8.242,0,0.248,5.1e-06,0.353,0.391,102.116,131765,4
DJ Neptune,Grinding,Grinding,0sItsKRwMl82xCtz7oeemH,0.782,0.602,9,-6.578,1,0.0692,0,0.306,0.618,107.977,146000,4
BNXN fka Buju,Bad Since '97,Many Ways (feat. Wizkid),0lWW0X74IvjNlgY5glykvY,0.773,0.526,5,-11.858,0,0.0809,0.00297,0.169,0.813,99.989,227328,4
Lasmid,Friday Night,Friday Night,4lFOrIFSya1i1cBHMUFve8,0.871,0.648,2,-7.61,1,0.141,0,0.112,0.775,114.911,171136,4
Coblaze,Good Girl,Good Girl,4yfvQspl2cPQBq8F8Y8tiA,0.719,0.677,9,-6.215,0,0.305,0.0263,0.106,0.97,200.068,156877,4
Baba Kuboye,From Ikoyi with Horns,Ikoyi Boy,4AlDx1fQV3XLAsxgPovoZh,0.521,0.669,10,-8.318,0,0.266,0,0.104,0.682,94.997,207158,4
Shoday,Caution,Caution,3s1vxTu48FlpPpwztVB4ht,0.818,0.764,5,-3.899,1,0.0402,0.00442,0.062,0.738,114.98,145450,4
Joeboy,Contour,Contour,5OBtqiT5Zg1BqXPx4bBo6T,0.76,0.643,0,-7.856,0,0.051,0.000301,0.142,0.569,101.953,189015,4
